year	week	away_team	home_team	away_score	home_score
1	12	8	21	-1	-1
1	12	29	30	-1	-1
1	12	16	2	-1	-1
1	12	4	0	-1	-1
1	12	25	19	-1	-1
1	12	26	22	-1	-1
1	12	13	12	-1	-1
1	12	14	15	-1	-1
1	12	1	10	-1	-1
1	12	17	24	-1	-1
1	12	7	3	-1	-1
1	12	11	9	-1	-1
1	12	23	18	-1	-1
1	12	31	28	-1	-1
1	13	0	16	-1	-1
1	13	24	25	-1	-1
1	13	10	11	-1	-1
1	13	26	17	-1	-1
1	13	6	4	-1	-1
1	13	21	20	-1	-1
1	13	27	23	-1	-1
1	13	2	12	-1	-1
1	13	30	28	-1	-1
1	13	3	9	-1	-1
1	13	7	5	-1	-1
1	13	18	1	-1	-1
1	13	22	8	-1	-1
1	13	31	14	-1	-1
1	13	15	13	-1	-1
1	13	19	29	-1	-1
1	14	8	0	-1	-1
1	14	29	28	-1	-1
1	14	9	10	-1	-1
1	14	16	24	-1	-1
1	14	4	12	-1	-1
1	14	25	27	-1	-1
1	14	13	31	-1	-1
1	14	5	2	-1	-1
1	14	6	14	-1	-1
1	14	1	3	-1	-1
1	14	17	18	-1	-1
1	14	11	20	-1	-1
1	14	22	30	-1	-1
1	14	23	21	-1	-1
1	14	15	7	-1	-1
1	14	19	26	-1	-1
1	15	28	22	-1	-1
1	15	0	11	-1	-1
1	15	24	26	-1	-1
1	15	10	20	-1	-1
1	15	4	5	-1	-1
1	15	12	15	-1	-1
1	15	13	30	-1	-1
1	15	14	7	-1	-1
1	15	21	16	-1	-1
1	15	1	17	-1	-1
1	15	27	6	-1	-1
1	15	2	9	-1	-1
1	15	3	8	-1	-1
1	15	18	19	-1	-1
1	15	23	29	-1	-1
1	15	31	25	-1	-1
1	16	20	23	-1	-1
1	16	8	10	-1	-1
1	16	0	2	-1	-1
1	16	29	13	-1	-1
1	16	9	1	-1	-1
1	16	16	18	-1	-1
1	16	25	4	-1	-1
1	16	26	27	-1	-1
1	16	12	31	-1	-1
1	16	14	28	-1	-1
1	16	5	24	-1	-1
1	16	21	22	-1	-1
1	16	30	15	-1	-1
1	16	17	19	-1	-1
1	16	7	6	-1	-1
1	16	11	3	-1	-1
1	17	20	21	-1	-1
1	17	28	31	-1	-1
1	17	24	27	-1	-1
1	17	10	9	-1	-1
1	17	26	25	-1	-1
1	17	13	14	-1	-1
1	17	6	5	-1	-1
1	17	1	2	-1	-1
1	17	30	29	-1	-1
1	17	3	0	-1	-1
1	17	7	4	-1	-1
1	17	18	17	-1	-1
1	17	11	8	-1	-1
1	17	22	23	-1	-1
1	17	15	12	-1	-1
1	17	19	16	-1	-1
2	1	28	18	-1	-1
2	1	0	8	-1	-1
2	1	24	26	-1	-1
2	1	9	13	-1	-1
2	1	16	29	-1	-1
2	1	12	2	-1	-1
2	1	14	17	-1	-1
2	1	5	6	-1	-1
2	1	21	7	-1	-1
2	1	3	25	-1	-1
2	1	11	10	-1	-1
2	1	22	27	-1	-1
2	1	23	4	-1	-1
2	1	31	30	-1	-1
2	1	15	1	-1	-1
2	1	19	20	-1	-1
2	2	20	21	-1	-1
2	2	8	9	-1	-1
2	2	29	28	-1	-1
2	2	10	30	-1	-1
2	2	25	22	-1	-1
2	2	12	15	-1	-1
2	2	13	19	-1	-1
2	2	5	11	-1	-1
2	2	6	0	-1	-1
2	2	1	3	-1	-1
2	2	27	26	-1	-1
2	2	2	14	-1	-1
2	2	17	16	-1	-1
2	2	7	4	-1	-1
2	2	18	31	-1	-1
2	2	23	24	-1	-1
2	3	0	27	-1	-1
2	3	24	20	-1	-1
2	3	9	29	-1	-1
2	3	16	23	-1	-1
2	3	4	8	-1	-1
2	3	26	19	-1	-1
2	3	13	18	-1	-1
2	3	6	21	-1	-1
2	3	2	25	-1	-1
2	3	30	28	-1	-1
2	3	17	12	-1	-1
2	3	3	10	-1	-1
2	3	7	1	-1	-1
2	3	11	31	-1	-1
2	3	22	5	-1	-1
2	3	15	14	-1	-1
2	4	8	11	-1	-1
2	4	0	26	-1	-1
2	4	9	28	-1	-1
2	4	10	7	-1	-1
2	4	25	16	-1	-1
2	4	12	13	-1	-1
2	4	5	4	-1	-1
2	4	1	2	-1	-1
2	4	27	21	-1	-1
2	4	30	17	-1	-1
2	4	3	14	-1	-1
2	4	18	15	-1	-1
2	4	22	6	-1	-1
2	4	23	20	-1	-1
2	4	31	24	-1	-1
2	5	20	22	-1	-1
2	5	28	11	-1	-1
2	5	8	10	-1	-1
2	5	16	12	-1	-1
2	5	4	3	-1	-1
2	5	26	25	-1	-1
2	5	13	2	-1	-1
2	5	14	5	-1	-1
2	5	21	23	-1	-1
2	5	1	9	-1	-1
2	5	27	18	-1	-1
2	5	17	29	-1	-1
2	5	7	6	-1	-1
2	5	15	0	-1	-1
2	5	19	30	-1	-1
2	6	20	27	-1	-1
2	6	8	15	-1	-1
2	6	0	12	-1	-1
2	6	29	19	-1	-1
2	6	24	1	-1	-1
2	6	13	3	-1	-1
2	6	14	16	-1	-1
2	6	5	2	-1	-1
2	6	6	10	-1	-1
2	6	21	4	-1	-1
2	6	18	17	-1	-1
2	6	11	9	-1	-1
2	6	22	26	-1	-1
2	6	23	7	-1	-1
2	6	31	28	-1	-1
2	7	0	13	-1	-1
2	7	29	18	-1	-1
2	7	9	5	-1	-1
2	7	10	31	-1	-1
2	7	16	19	-1	-1
2	7	4	20	-1	-1
2	7	25	1	-1	-1
2	7	12	14	-1	-1
2	7	21	22	-1	-1
2	7	27	3	-1	-1
2	7	2	24	-1	-1
2	7	30	8	-1	-1
2	7	17	28	-1	-1
2	7	15	6	-1	-1
2	8	8	29	-1	-1
2	8	10	11	-1	-1
2	8	4	5	-1	-1
2	8	26	21	-1	-1
2	8	13	7	-1	-1
2	8	1	12	-1	-1
2	8	2	0	-1	-1
2	8	30	27	-1	-1
2	8	3	24	-1	-1
2	8	18	14	-1	-1
2	8	22	20	-1	-1
2	8	23	25	-1	-1
2	8	31	9	-1	-1
2	8	19	17	-1	-1
2	9	28	19	-1	-1
2	9	24	0	-1	-1
2	9	25	27	-1	-1
2	9	26	2	-1	-1
2	9	12	4	-1	-1
2	9	5	10	-1	-1
2	9	6	23	-1	-1
2	9	21	30	-1	-1
2	9	3	1	-1	-1
2	9	7	22	-1	-1
2	9	11	8	-1	-1
2	9	31	29	-1	-1
2	9	15	16	-1	-1
2	10	20	5	-1	-1
2	10	28	10	-1	-1
2	10	0	3	-1	-1
2	10	29	11	-1	-1
2	10	16	18	-1	-1
2	10	25	24	-1	-1
2	10	14	13	-1	-1
2	10	6	7	-1	-1
2	10	1	26	-1	-1
2	10	2	15	-1	-1
2	10	30	9	-1	-1
2	10	17	22	-1	-1
2	10	23	21	-1	-1
2	10	19	31	-1	-1
2	11	29	25	-1	-1
2	11	9	8	-1	-1
2	11	16	28	-1	-1
2	11	4	6	-1	-1
2	11	26	23	-1	-1
2	11	12	19	-1	-1
2	11	5	21	-1	-1
2	11	27	24	-1	-1
2	11	7	20	-1	-1
2	11	18	30	-1	-1
2	11	11	14	-1	-1
2	11	31	17	-1	-1
2	11	15	13	-1	-1
2	12	20	6	-1	-1
2	12	28	30	-1	-1
2	12	24	25	-1	-1
2	12	10	9	-1	-1
2	12	26	27	-1	-1
2	12	14	0	-1	-1
2	12	1	13	-1	-1
2	12	2	3	-1	-1
2	12	17	18	-1	-1
2	12	7	8	-1	-1
2	12	11	4	-1	-1
2	12	22	31	-1	-1
2	12	23	29	-1	-1
2	12	15	12	-1	-1
2	12	19	16	-1	-1
2	13	20	26	-1	-1
2	13	8	28	-1	-1
2	13	0	1	-1	-1
2	13	29	31	-1	-1
2	13	24	17	-1	-1
2	13	10	12	-1	-1
2	13	4	9	-1	-1
2	13	13	14	-1	-1
2	13	5	7	-1	-1
2	13	6	11	-1	-1
2	13	21	25	-1	-1
2	13	27	2	-1	-1
2	13	30	16	-1	-1
2	13	3	15	-1	-1
2	13	22	23	-1	-1
2	13	19	18	-1	-1
2	14	28	26	-1	-1
2	14	8	5	-1	-1
2	14	29	10	-1	-1
2	14	9	6	-1	-1
2	14	4	22	-1	-1
2	14	25	20	-1	-1
2	14	13	12	-1	-1
2	14	14	15	-1	-1
2	14	21	24	-1	-1
2	14	27	23	-1	-1
2	14	2	1	-1	-1
2	14	30	31	-1	-1
2	14	17	19	-1	-1
2	14	3	0	-1	-1
2	14	18	16	-1	-1
2	14	11	7	-1	-1
2	15	20	28	-1	-1
2	15	10	4	-1	-1
2	15	16	13	-1	-1
2	15	25	0	-1	-1
2	15	26	24	-1	-1
2	15	12	3	-1	-1
2	15	6	5	-1	-1
2	15	1	27	-1	-1
2	15	2	11	-1	-1
2	15	30	29	-1	-1
2	15	7	9	-1	-1
2	15	18	21	-1	-1
2	15	23	22	-1	-1
2	15	31	8	-1	-1
2	15	15	17	-1	-1
2	15	19	14	-1	-1
2	16	28	29	-1	-1
2	16	8	6	-1	-1
2	16	0	2	-1	-1
2	16	24	22	-1	-1
2	16	9	10	-1	-1
2	16	4	7	-1	-1
2	16	26	3	-1	-1
2	16	12	18	-1	-1
2	16	14	1	-1	-1
2	16	5	23	-1	-1
2	16	21	20	-1	-1
2	16	27	25	-1	-1
2	16	17	13	-1	-1
2	16	11	30	-1	-1
2	16	31	16	-1	-1
2	16	19	15	-1	-1
2	17	20	23	-1	-1
2	17	28	31	-1	-1
2	17	29	30	-1	-1
2	17	24	27	-1	-1
2	17	9	11	-1	-1
2	17	10	8	-1	-1
2	17	16	17	-1	-1
2	17	25	26	-1	-1
2	17	13	15	-1	-1
2	17	14	12	-1	-1
2	17	6	4	-1	-1
2	17	1	0	-1	-1
2	17	3	2	-1	-1
2	17	7	5	-1	-1
2	17	18	19	-1	-1
2	17	22	21	-1	-1
3	1	31	1	-1	-1
3	1	20	25	-1	-1
3	1	28	24	-1	-1
3	1	8	9	-1	-1
3	1	29	22	-1	-1
3	1	13	21	-1	-1
3	1	14	12	-1	-1
3	1	5	2	-1	-1
3	1	6	4	-1	-1
3	1	30	27	-1	-1
3	1	17	16	-1	-1
3	1	3	0	-1	-1
3	1	7	15	-1	-1
3	1	18	19	-1	-1
3	1	11	10	-1	-1
3	1	23	26	-1	-1
3	2	20	13	-1	-1
3	2	0	29	-1	-1
3	2	24	31	-1	-1
3	2	10	8	-1	-1
3	2	16	4	-1	-1
3	2	25	17	-1	-1
3	2	26	28	-1	-1
3	2	12	9	-1	-1
3	2	1	6	-1	-1
3	2	27	11	-1	-1
3	2	2	30	-1	-1
3	2	3	7	-1	-1
3	2	18	5	-1	-1
3	2	22	23	-1	-1
3	2	15	14	-1	-1
3	2	19	21	-1	-1
3	3	28	25	-1	-1
3	3	8	14	-1	-1
3	3	9	26	-1	-1
3	3	10	13	-1	-1
3	3	16	20	-1	-1
3	3	4	0	-1	-1
3	3	12	2	-1	-1
3	3	5	6	-1	-1
3	3	21	22	-1	-1
3	3	1	3	-1	-1
3	3	30	29	-1	-1
3	3	17	18	-1	-1
3	3	7	19	-1	-1
3	3	11	24	-1	-1
3	3	23	15	-1	-1
3	3	31	27	-1	-1
3	4	0	28	-1	-1
3	4	29	2	-1	-1
3	4	24	26	-1	-1
3	4	9	10	-1	-1
3	4	25	27	-1	-1
3	4	13	23	-1	-1
3	4	14	3	-1	-1
3	4	21	16	-1	-1
3	4	30	1	-1	-1
3	4	17	31	-1	-1
3	4	7	4	-1	-1
3	4	18	6	-1	-1
3	4	11	8	-1	-1
3	4	22	20	-1	-1
3	4	15	12	-1	-1
3	4	19	5	-1	-1
3	5	20	18	-1	-1
3	5	8	7	-1	-1
3	5	0	9	-1	-1
3	5	29	25	-1	-1
3	5	26	16	-1	-1
3	5	14	11	-1	-1
3	5	5	12	-1	-1
3	5	6	17	-1	-1
3	5	27	24	-1	-1
3	5	2	31	-1	-1
3	5	3	10	-1	-1
3	5	22	13	-1	-1
3	5	23	21	-1	-1
3	5	15	1	-1	-1
3	6	24	8	-1	-1
3	6	10	12	-1	-1
3	6	25	30	-1	-1
3	6	26	27	-1	-1
3	6	13	15	-1	-1
3	6	6	7	-1	-1
3	6	21	14	-1	-1
3	6	1	28	-1	-1
3	6	2	3	-1	-1
3	6	17	4	-1	-1
3	6	18	29	-1	-1
3	6	11	5	-1	-1
3	6	22	19	-1	-1
3	6	31	20	-1	-1
3	7	20	21	-1	-1
3	7	28	2	-1	-1
3	7	8	27	-1	-1
3	7	29	24	-1	-1
3	7	9	11	-1	-1
3	7	16	22	-1	-1
3	7	4	6	-1	-1
3	7	14	13	-1	-1
3	7	5	7	-1	-1
3	7	30	26	-1	-1
3	7	3	1	-1	-1
3	7	23	17	-1	-1
3	7	31	0	-1	-1
3	7	15	10	-1	-1
3	7	19	18	-1	-1
3	8	28	3	-1	-1
3	8	29	31	-1	-1
3	8	24	30	-1	-1
3	8	16	19	-1	-1
3	8	4	5	-1	-1
3	8	12	23	-1	-1
3	8	13	9	-1	-1
3	8	6	2	-1	-1
3	8	1	8	-1	-1
3	8	27	10	-1	-1
3	8	7	0	-1	-1
3	8	11	25	-1	-1
3	8	22	18	-1	-1
3	9	20	22	-1	-1
3	9	28	29	-1	-1
3	9	8	15	-1	-1
3	9	0	3	-1	-1
3	9	9	14	-1	-1
3	9	4	18	-1	-1
3	9	25	26	-1	-1
3	9	13	12	-1	-1
3	9	5	16	-1	-1
3	9	21	17	-1	-1
3	9	7	1	-1	-1
3	9	31	30	-1	-1
3	9	19	23	-1	-1
3	10	9	15	-1	-1
3	10	10	25	-1	-1
3	10	16	28	-1	-1
3	10	26	24	-1	-1
3	10	12	21	-1	-1
3	10	6	14	-1	-1
3	10	1	29	-1	-1
3	10	27	19	-1	-1
3	10	2	4	-1	-1
3	10	30	0	-1	-1
3	10	17	22	-1	-1
3	10	3	31	-1	-1
3	10	11	13	-1	-1
3	10	23	20	-1	-1
3	11	20	12	-1	-1
3	11	28	23	-1	-1
3	11	8	26	-1	-1
3	11	0	6	-1	-1
3	11	9	4	-1	-1
3	11	25	24	-1	-1
3	11	14	10	-1	-1
3	11	5	17	-1	-1
3	11	21	27	-1	-1
3	11	2	7	-1	-1
3	11	18	16	-1	-1
3	11	15	11	-1	-1
3	11	19	30	-1	-1
3	12	0	5	-1	-1
3	12	29	3	-1	-1
3	12	24	18	-1	-1
3	12	10	9	-1	-1
3	12	4	7	-1	-1
3	12	26	11	-1	-1
3	12	12	8	-1	-1
3	12	14	20	-1	-1
3	12	6	16	-1	-1
3	12	1	2	-1	-1
3	12	27	25	-1	-1
3	12	30	21	-1	-1
3	12	17	19	-1	-1
3	12	23	22	-1	-1
3	12	31	28	-1	-1
3	12	15	13	-1	-1
3	13	29	30	-1	-1
3	13	10	6	-1	-1
3	13	4	1	-1	-1
3	13	25	8	-1	-1
3	13	12	15	-1	-1
3	13	13	14	-1	-1
3	13	5	3	-1	-1
3	13	21	20	-1	-1
3	13	27	28	-1	-1
3	13	2	0	-1	-1
3	13	17	7	-1	-1
3	13	18	23	-1	-1
3	13	11	9	-1	-1
3	13	22	24	-1	-1
3	13	31	26	-1	-1
3	13	19	16	-1	-1
3	14	8	11	-1	-1
3	14	24	9	-1	-1
3	14	16	17	-1	-1
3	14	25	31	-1	-1
3	14	26	10	-1	-1
3	14	13	0	-1	-1
3	14	27	29	-1	-1
3	14	2	1	-1	-1
3	14	30	28	-1	-1
3	14	3	4	-1	-1
3	14	7	5	-1	-1
3	14	18	21	-1	-1
3	14	22	12	-1	-1
3	14	23	14	-1	-1
3	14	15	20	-1	-1
3	14	19	6	-1	-1
3	15	20	19	-1	-1
3	15	28	31	-1	-1
3	15	8	10	-1	-1
3	15	24	25	-1	-1
3	15	9	27	-1	-1
3	15	16	7	-1	-1
3	15	4	13	-1	-1
3	15	26	29	-1	-1
3	15	12	14	-1	-1
3	15	6	5	-1	-1
3	15	21	23	-1	-1
3	15	1	0	-1	-1
3	15	2	11	-1	-1
3	15	3	30	-1	-1
3	15	18	17	-1	-1
3	15	15	22	-1	-1
3	16	28	30	-1	-1
3	16	0	2	-1	-1
3	16	10	24	-1	-1
3	16	4	19	-1	-1
3	16	25	9	-1	-1
3	16	13	8	-1	-1
3	16	14	22	-1	-1
3	16	6	3	-1	-1
3	16	21	15	-1	-1
3	16	1	5	-1	-1
3	16	27	26	-1	-1
3	16	17	20	-1	-1
3	16	7	18	-1	-1
3	16	11	12	-1	-1
3	16	23	16	-1	-1
3	16	31	29	-1	-1
3	17	20	23	-1	-1
3	17	0	1	-1	-1
3	17	29	28	-1	-1
3	17	24	27	-1	-1
3	17	9	8	-1	-1
3	17	10	11	-1	-1
3	17	16	18	-1	-1
3	17	26	25	-1	-1
3	17	12	13	-1	-1
3	17	14	15	-1	-1
3	17	5	4	-1	-1
3	17	30	31	-1	-1
3	17	3	2	-1	-1
3	17	7	6	-1	-1
3	17	22	21	-1	-1
3	17	19	17	-1	-1
4	1	20	2	-1	-1
4	1	28	31	-1	-1
4	1	8	0	-1	-1
4	1	16	17	-1	-1
4	1	4	29	-1	-1
4	1	12	24	-1	-1
4	1	13	25	-1	-1
4	1	14	26	-1	-1
4	1	5	6	-1	-1
4	1	30	7	-1	-1
4	1	3	9	-1	-1
4	1	18	10	-1	-1
4	1	22	21	-1	-1
4	1	23	1	-1	-1
4	1	15	27	-1	-1
4	1	19	11	-1	-1
4	2	20	31	-1	-1
4	2	0	3	-1	-1
4	2	29	22	-1	-1
4	2	24	18	-1	-1
4	2	10	8	-1	-1
4	2	4	13	-1	-1
4	2	25	15	-1	-1
4	2	12	5	-1	-1
4	2	21	23	-1	-1
4	2	27	26	-1	-1
4	2	2	1	-1	-1
4	2	17	30	-1	-1
4	2	7	28	-1	-1
4	2	11	9	-1	-1
4	2	6	14	-1	-1
4	2	19	16	-1	-1
4	3	0	20	-1	-1
4	3	29	27	-1	-1
4	3	9	4	-1	-1
4	3	16	24	-1	-1
4	3	26	25	-1	-1
4	3	13	6	-1	-1
4	3	14	8	-1	-1
4	3	5	3	-1	-1
4	3	1	10	-1	-1
4	3	2	12	-1	-1
4	3	30	28	-1	-1
4	3	17	19	-1	-1
4	3	18	11	-1	-1
4	3	23	22	-1	-1
4	3	31	21	-1	-1
4	3	15	7	-1	-1
4	4	20	21	-1	-1
4	4	28	29	-1	-1
4	4	8	7	-1	-1
4	4	24	25	-1	-1
4	4	9	1	-1	-1
4	4	12	15	-1	-1
4	4	14	13	-1	-1
4	4	27	17	-1	-1
4	4	2	0	-1	-1
4	4	3	23	-1	-1
4	4	11	5	-1	-1
4	4	6	30	-1	-1
4	4	22	16	-1	-1
4	4	31	4	-1	-1
4	4	19	10	-1	-1
4	5	8	19	-1	-1
4	5	29	31	-1	-1
4	5	10	2	-1	-1
4	5	16	9	-1	-1
4	5	4	28	-1	-1
4	5	25	18	-1	-1
4	5	26	17	-1	-1
4	5	13	24	-1	-1
4	5	21	0	-1	-1
4	5	1	15	-1	-1
4	5	27	12	-1	-1
4	5	7	6	-1	-1
4	5	11	3	-1	-1
4	5	22	20	-1	-1
4	6	20	3	-1	-1
4	6	0	22	-1	-1
4	6	24	14	-1	-1
4	6	25	21	-1	-1
4	6	26	16	-1	-1
4	6	12	13	-1	-1
4	6	1	11	-1	-1
4	6	2	9	-1	-1
4	6	30	29	-1	-1
4	6	17	8	-1	-1
4	6	7	5	-1	-1
4	6	6	4	-1	-1
4	6	23	28	-1	-1
4	6	15	10	-1	-1
4	6	19	18	-1	-1
4	7	20	23	-1	-1
4	7	28	6	-1	-1
4	7	9	10	-1	-1
4	7	4	12	-1	-1
4	7	25	19	-1	-1
4	7	26	24	-1	-1
4	7	14	7	-1	-1
4	7	5	30	-1	-1
4	7	21	17	-1	-1
4	7	1	0	-1	-1
4	7	3	8	-1	-1
4	7	18	27	-1	-1
4	7	11	2	-1	-1
4	7	22	31	-1	-1
4	7	15	13	-1	-1
4	8	28	26	-1	-1
4	8	0	2	-1	-1
4	8	29	20	-1	-1
4	8	24	27	-1	-1
4	8	9	19	-1	-1
4	8	10	3	-1	-1
4	8	16	18	-1	-1
4	8	4	6	-1	-1
4	8	12	25	-1	-1
4	8	13	5	-1	-1
4	8	30	23	-1	-1
4	8	31	7	-1	-1
4	8	15	14	-1	-1
4	9	8	11	-1	-1
4	9	10	16	-1	-1
4	9	26	13	-1	-1
4	9	5	14	-1	-1
4	9	21	29	-1	-1
4	9	1	3	-1	-1
4	9	27	25	-1	-1
4	9	17	18	-1	-1
4	9	7	4	-1	-1
4	9	6	15	-1	-1
4	9	22	30	-1	-1
4	9	23	0	-1	-1
4	9	31	28	-1	-1
4	10	20	22	-1	-1
4	10	8	10	-1	-1
4	10	29	5	-1	-1
4	10	14	12	-1	-1
4	10	2	23	-1	-1
4	10	30	4	-1	-1
4	10	17	9	-1	-1
4	10	3	21	-1	-1
4	10	18	28	-1	-1
4	10	11	16	-1	-1
4	10	6	1	-1	-1
4	10	31	24	-1	-1
4	10	15	26	-1	-1
4	10	19	27	-1	-1
4	11	29	30	-1	-1
4	11	9	0	-1	-1
4	11	10	11	-1	-1
4	11	16	8	-1	-1
4	11	25	14	-1	-1
4	11	13	15	-1	-1
4	11	5	31	-1	-1
4	11	21	1	-1	-1
4	11	27	20	-1	-1
4	11	17	24	-1	-1
4	11	7	12	-1	-1
4	11	22	2	-1	-1
4	11	23	18	-1	-1
4	11	19	26	-1	-1
4	12	28	20	-1	-1
4	12	8	9	-1	-1
4	12	0	14	-1	-1
4	12	24	15	-1	-1
4	12	10	17	-1	-1
4	12	16	19	-1	-1
4	12	4	5	-1	-1
4	12	25	27	-1	-1
4	12	12	6	-1	-1
4	12	13	11	-1	-1
4	12	1	22	-1	-1
4	12	30	21	-1	-1
4	12	3	2	-1	-1
4	12	7	29	-1	-1
4	12	18	26	-1	-1
4	12	31	23	-1	-1
4	13	20	19	-1	-1
4	13	28	5	-1	-1
4	13	8	1	-1	-1
4	13	24	22	-1	-1
4	13	9	18	-1	-1
4	13	26	12	-1	-1
4	13	14	4	-1	-1
4	13	27	16	-1	-1
4	13	2	21	-1	-1
4	13	30	25	-1	-1
4	13	3	13	-1	-1
4	13	7	0	-1	-1
4	13	11	17	-1	-1
4	13	6	31	-1	-1
4	13	23	29	-1	-1
4	14	0	11	-1	-1
4	14	29	6	-1	-1
4	14	10	9	-1	-1
4	14	25	24	-1	-1
4	14	26	23	-1	-1
4	14	13	12	-1	-1
4	14	14	27	-1	-1
4	14	5	7	-1	-1
4	14	21	28	-1	-1
4	14	1	20	-1	-1
4	14	2	8	-1	-1
4	14	17	16	-1	-1
4	14	18	19	-1	-1
4	14	22	3	-1	-1
4	14	31	30	-1	-1
4	14	15	4	-1	-1
4	15	20	30	-1	-1
4	15	28	22	-1	-1
4	15	8	18	-1	-1
4	15	0	10	-1	-1
4	15	24	26	-1	-1
4	15	9	11	-1	-1
4	15	16	31	-1	-1
4	15	4	2	-1	-1
4	15	12	14	-1	-1
4	15	5	15	-1	-1
4	15	27	13	-1	-1
4	15	17	25	-1	-1
4	15	3	1	-1	-1
4	15	6	7	-1	-1
4	15	23	21	-1	-1
4	15	19	29	-1	-1
4	16	0	1	-1	-1
4	16	29	28	-1	-1
4	16	24	19	-1	-1
4	16	10	6	-1	-1
4	16	16	25	-1	-1
