ui_NewStarGames	New Star Games
ui_Credit	Credit
ui_Facilities	Facilities
ui_Fans	Fans
ui_Fan	Fan
ui_Stadium	Stadium
ui_Staff	Staff
ui_TrainingFacilities	Training Facilities
ui_StaffFacilities	Staff Facilities
ui_StaffOffices	Staff Offices
ui_RehabFacilities	Rehab Facilities
info_Facility_Stadium	Improve your stadium facilities to make fans more positive after a win and less negative after a loss.
info_Facility_Training	Higher quality training facilities help players gain XP faster.
info_Facility_Rehab	Better rehab helps players maintain good condition and recover from injury quicker. 
info_Staff	Your coordinators determine the base rating for defense and offense (the rating before star players are taken into account).
msg_facility_Stadium	Do you want to improve the stadium and fan facilities for $num credits?
msg_facility_Training	Do you want to improve the player training facilities for $num credits?
msg_facility_Rehab	Do you want to improve the player rehab facilities for $num credits?
msg_NoCreditFacility	You do not have enough credits to upgrade this facility.
msg_FacilityTooSoon	You cannot upgrade this facility twice in one week.
ui_UpgradeCost	Upgrade#Cost
ui_FrontOffice	Front Office
btn_FrontOffice	Front#Office
ui_Coordinators	Coordinators
ui_AvailableHires	Available Hires
ui_Hired	Hired
ui_CurrentHire	Current Hire
ui_HireStaff	Hire Staff
msg_HireStaff	Do you want to hire $hirename on a $year year contract for $num credits?##Your existing coach will be fired.
msg_HireStaffNoCost	You need $num coach credits to hire this member of staff.
msg_StaffExtend	Do you want to extend $hirename's contract by 1 year for $num credits?
msg_StaffExtend1	Do you want to extend $hirename's contract by 1 year for $num credit?
msg_StaffExtendNoCost	You need $num coach credits to extend this member of staff's contract by 1 year.
msg_StaffExtendNoAge	This member of staff is retiring this year.
msg_StaffExtendNoCost1	You need $num coach credit to extend this member of staff's contract by 1 year.
msg_StaffExpiring	Your $position's contract expires at the end of this season.
news_HireStaff	$teamname have signed $position $hirename on a $num year contract.
msg_StaffExpired	$position $hirename's contract has expired and he has left the organization.
msg_StaffRetired	$position $hirename has retired.
ui_Meeting	Meeting
msg_Meeting	Improving $playername's morale will cost $num coach credits.##Do you want to have a meeting with him?
msg_MeetingNotNeeded	$playername's morale is at maximum.
msg_NoCreditMeeting	You need $num coach credits to improve $playername's morale.
msg_MeetingDone	You have already had a meeting with $playername this week.
ui_DraftPicks	Draft Picks
info_DraftPicks	In the next draft you have the following number of picks:##Round 1: $num1##Round 2: $num2##Round 3: $num3##You can gain extra picks by trading players out of the team.
ui_PressInterview	Press Interview
uniformviolation_0	Towel
uniformviolation_1	Socks
uniformviolation_2	Cleats
uniformviolation_3	Head band
uniformviolation_4	Wrist band
uniformviolation_5	Gloves
uniformviolation_6	Visor
uniformviolation_7	Chin strap
uniformviolation_8	Logo
uniformviolation_9	Jersey
postmatch_toxic1	$position $playername will receive a fine for a uniform violation ($uniform).-choice_DefendPlayer-choice_CriticisePlayer
postmatch_toxic2	$position $playername will receive a fine for unnecessary roughness.-choice_CriticisePlayer-choice_CriticiseOfficials
postmatch_toxic3	$position $playername will receive a fine for unsportsmanlike conduct.-choice_CriticisePlayer-choice_CriticiseCoaches
postmatch_toxic4	$position $playername was apparently overheard saying "come get me" towards the opposition sideline during the game today.-choice_DefendPlayer-choice_CriticisePlayer
postmatch_toxic5	$position $playername will receive a fine for making a gang sign during the game today.-choice_DefendPlayer-choice_CriticisePlayer
postmatch_toxic6	$position $playername will receive a fine for fighting with an opponent during the game today.-choice_DefendPlayer-choice_CriticisePlayer
postmatch_toxic7	$position $playername will receive a fine for making physical contact with an official today.-choice_DefendPlayer-choice_CriticisePlayer
postmatch_toxic8	$position $playername will receive a fine for taunting today.-choice_DefendPlayer-choice_CriticisePlayer
postmatch_win1	That was an impressive performance and an incredible atmosphere.-choice_PraiseTeam-choice_PraiseFans
postmatch_win2	What pleased you most about the win today?-choice_PraiseTeam-choice_PraiseCoaches
postmatch_win3	This organization has taken some criticism in the past. It must feel good to win.-choice_PraiseFans-choice_PraiseOwner
postmatch_loss1	What would you put the loss down to today?-choice_CriticiseSelf-choice_CriticiseTeam
postmatch_loss2	What would you put the loss down to today?-choice_CriticiseTeam-choice_CriticiseOfficials
postmatch_loss3	What would you put the loss down to today?-choice_CriticiseTeam-choice_CriticiseCoaches
postmatch_performance_good1	$position $playername was on point today. Were you pleased with his performance?-choice_PraisePlayer-choice_PraiseCoaches
postmatch_performance_good2	$position $playername had an outstanding game don't you think?-choice_PraisePlayer-choice_PraiseTeam
postmatch_performance_good3	$position $playername had a great game today. The fans clearly want him to do well.-choice_PraisePlayer-choice_PraiseFans
postmatch_performance_bad1	What would you say to the fans who were disappointed in $position $playername today?-choice_DefendPlayer-choice_CriticisePlayer
postmatch_performance_bad2	Would you agree that $position $playername was poor today?-choice_DefendPlayer-choice_CriticiseCoaches
postmatch_performance_bad3	$position $playername didn't play well today. What are your thoughts on his performance?-choice_CriticisePlayer-choice_CriticiseTeam
choice_PraiseTeam	Praise#Team
choice_PraiseCoaches	Praise#Coaching
choice_PraiseFans	Praise#Fans
choice_PraiseOwner	Praise#Owner
choice_PraisePlayer	Praise#Player
choice_DefendPlayer	Defend#Player
choice_CriticiseSelf	It's on#me
choice_CriticisePlayer	Criticize#Player
choice_CriticiseTeam	Criticize#Team
choice_CriticiseCoaches	Criticize#Coaching
choice_CriticiseFans	Criticize#Fans
choice_CriticiseOfficials	Criticize#Officials
ui_MoraleDown	Morale Down!
ui_CreditDown	Coach Credit -$num
ui_Cost	Cost
ui_Effect	Effect
dilemma_ByeWeek1	It's your bye week. Do you want to spend some extra time focusing on the team or talking with the media?-choice_FocusTeam-choice_FocusMedia
dilemma_ByeWeek2	It's your bye week. You can spend some time discussing plans for the franchise with the owner or you can focus on getting the team ready for the next game?-choice_FocusOwner-choice_FocusTeam
dilemma_ByeWeek3	It's your bye week. You can spend some extra time talking with the media or working with your coaching staff?-choice_FocusMedia-choice_FocusCoaches
dilemma_ByeWeek4	It's your bye week. You can spend some time discussing plans for the franchise with the owner or you can work with your coaching staff?-choice_FocusOwner-choice_FocusCoaches
dilemma_ByeWeek5	It's your bye week. Do you want to spend some extra time training the team or working with your coaches?-choice_FocusTeam-choice_FocusCoaches
choice_FocusCoaches	Coaches
choice_FocusTeam	Team
choice_FocusOwner	Owner
choice_FocusMedia	Media
ui_Morale	Morale
ui_Restart	Restart
info_Options_DriveDirection	If you use your right hand to aim a pass you may want to set the drive direction to LEFT to avoid obscuring the view of the field.##If you aim with your left hand set the drive direction to RIGHT.
msg_FacilityDeclineStadium	Your stadium has declined slightly.
msg_FacilityDeclineTraining	Your training facilities have declined slightly.
msg_FacilityDeclineRehab	Your rehab facilities have declined slightly.
news_OaklandMove	The Oakland franchise has moved to Las Vegas.
ui_stat_games	Games
ui_stat_attempts	Att
ui_stat_fgm	Fgm
ui_stat_fga	Fga
ui_stat_complete	Cmp
ui_stat_yards	Yds
ui_stat_average	Avg
ui_stat_longest	Lng
ui_stat_touchdowns	Tds
ui_stat_fumbles	Fum
ui_stat_int	Int
ui_stat_sacks	Sck
ui_stat_receive	Rec
ui_stat_tackles	Tck
ui_stat_intsacks	I/S
ui_Passing	Passing
ui_Rushing	Rushing
ui_Receiving	Receiving
ui_Kicking	Kicking
ui_Tackling	Tackling
ui_EndWeek	End of Week
ui_EndWeekN	End of Week $num
ui_XP	XP
tla_Position	Pos
tla_Attitude	Mor
attribute_ArmStrength	Arm Strength
attribute_KickRange	Kick Range
attribute_KickAccuracy	Kick Accuracy
attribute_ThrowAccuracy	Throw Accuracy
attribute_Range	Range
attribute_Accuracy	Accuracy
tla_Rating	Rat
tla_Errors	Err
condition_0	Injured
condition_1	Exhausted
condition_2	Tired
condition_3	Ok
condition_4	Good
condition_5	Great
condition_6	Perfect
ui_Condition	Condition
tla_Condition	Cnd
tla_At	At
tla_at	at
tla_Versus	Vs
tla_versus	vs
tla_Injured	Inj
tla_Injury	Inj
news_DraftEnded	The draft is over and the season can begin!
tla_Skill	Skl
tla_Speed	Spd
tla_Strength	Str
tla_Stamina	Stm
short_LevelXP	XP Lvl
tla_Age	Age
tla_Contract	Cnt
tla_Salary	Sal
sla_Million	M
news_SignCoach	$teamname have signed $position $playername.
news_SignFreeAgent	$teamname have signed $age year old free agent $playername.
news_ResignedPlayer	$teamname have agreed a $salary deal with $age year old $position $playername.
news_SignTrade	$teamname have signed $age year old $position $playername from $otherteamname.
news_SignTrade2	$teamname have signed $age year old $position $playername.
msg_BoostCondition	Do you want to give the team a condition boost for $num coach credits?
msg_BoostConditionTooExpensive	You need $num coach credits to boost the team condition.
msg_BoostConditionNotNeeded	You don't need to boost the team condition right now.
msg_BoostMorale	Do you want to give the team a morale boost for $num coach credits?
msg_BoostMoraleTooExpensive	You need $num coach credits to boost the team morale.
msg_BoostMoraleNotNeeded	You don't need to boost the team morale right now.
ui_BoostMorale	+Morale
ui_BoostCondition	+Condition
ui_Year	Year
sla_Year	Y
ui_Change	Change
